word	(Intercept)	number_stories_observed
“superbugs”	-1.4073103168728576	-0.8645322253700551
10	0.7265876225702824	0.7527707613108863
100	0.16715125648166113	-0.26172916706652444
1215	-0.4757413478504926	-0.15259734919483833
1928	1.2670836265868555	0.0013938821933680706
2050	1.0777738450143008	0.7990051532889063
50	0.0066221316225990165	-0.3495466254888664
70	-0.23426045042245952	0.5498212400231199
700	-0.2578662081215394	-0.43249848239886596
across	-1.432611240580566	-0.8638089902340412
address	-0.6572064840489958	-0.19930247424330272
alexand	1.6182258332083927	-0.43456080045803774
alli	-0.13498114493081037	0.08328548539479375
alreadi	-0.6447623661436336	-0.19389152701554513
also	1.1714579902236832	-0.5724449858312565
alway	-1.2136414255745809	-0.6256693632341259
anoth	-0.5263714072780213	-0.28366239781022234
antibiot	2.212174268080062	2.293461092327221
antimicrobi	-0.8909693519614189	-0.4607661080917281
arriv	-0.5551846321303403	-0.2598949508817264
attack	1.2013065595621484	-0.7739171157167716
avail	0.18391487183905825	-0.7118426724346829
bacteri	1.9040397166066212	-0.5986776841397583
bacteria	2.2800717914359194	0.6339334914784411
battlefield	-0.3791947987499493	0.04558485827194268
becam	0.9184037007482244	-0.9478838595747071
best	-0.8172211550305262	-0.2942760184888237
bought	-0.688424770195681	-0.35521480692953955
british	-0.53430736644074	-0.10233259246474447
bulb	-0.6893912339056797	-0.35470752544247297
buy	-0.26903670374107885	1.0065041036741247
call	0.8690730616435715	-0.6639052446046234
cancer	1.4953518867925943	1.2178821575321106
cant	-0.3015673139536906	0.3060721744813289
case	0.5155042029663264	-0.7331156296678369
chang	0.7253929331410425	0.9171466364223259
charter	-1.4073103168728576	-0.8645322253700551
chicken	0.9866666426657714	-0.0017406720868063524
citi	-0.5766083576010005	-0.24309126583585963
climat	-0.10755955941684452	-0.1463855389911931
come	0.32104658796357877	0.48385575555449856
common	0.708056627986999	-0.187979755552045
compani	0.7107933402334242	0.6860395099023622
compet	-0.6823985634185544	-0.36178527481398
compound	-1.101611389812282	-0.6318632173770751
concern	-1.046990922985183	-0.9404160916394579
control	-0.34241966988903977	0.03470031863130449
could	0.475087801334013	1.2418868204342945
crush	-0.3502622501139967	-0.11155005244747279
current	0.48620788937975307	-0.09719202746314337
day	-0.061035778090956304	1.158759229359157
death	1.3721728056213867	0.45800748225842974
decid	-0.6128692431846682	-0.22218651122838254
develop	1.5838775831922247	0.6221252595849807
die	1.0396407005224957	2.324234568662904
direct	-0.7546457071981696	-0.3220114496227728
discov	1.321952487329605	0.4077464126009729
diseas	1.7769483664678378	0.788236505009531
drug	1.0398262783607193	0.8325392295867878
ear	0.04585323376050625	0.8210640383961256
effect	2.130347608928129	-0.7341815840289669
end	0.04065586552135017	0.6116103455330983
enough	1.4566181117052346	0.48818350897260687
epoch	-0.8640237404663853	-0.47246986666057234
estim	0.8648315321811593	-5.314848362788158e-4
europ	-0.26264692297702574	0.16207401921586617
ever	-0.5607754870143312	0.04288066683709203
extraordinari	-1.4073103168728576	-0.8645322253700551
fact	-0.4142774706190992	-0.20340564566129435
factori	-0.24440846005374897	-0.2954814395282537
feel	-0.6165544886490417	-0.21675488868671844
fight	1.4355021274420816	-0.08853568770320235
first	0.638168217230912	-0.08393047185468491
fleme	1.395070086041754	0.02166783880587407
fluoresc	-1.4073103168728576	-0.8645322253700551
follow	-0.1841078798945896	-0.10911213985174456
food	1.6930686435545943	-0.17399385747390655
forc	-0.5362272698953836	-0.1011237893552613
forgo	-0.5095079029074772	-0.12525629455024204
fruit	-0.05390943962188664	0.011740748532498162
game	-0.3921516854649424	0.29174475072985445
get	0.9406987570979919	0.10800354722493531
give	-0.07097929902037516	1.1338390874768574
golden	0.08369926291409302	-0.08597669019011622
gore	-0.05696183614699139	0.4476290635314803
govern	-0.8619328489580017	-0.47338319354926656
had	-1.4073103168728576	-0.8645322253700551
heart	1.6819814636971624	0.5294669905467446
help	1.239016750368101	0.31797726029225126
histori	0.10078160324073392	0.7016500895083237
hope	-0.6053769785434485	-0.23663402214709406
ii	-0.1658774570000062	0.20157570393038146
industri	0.05344218936926742	0.19091565445937375
infect	1.6219236492756142	1.5556623132919025
injuri	0.5016475915065869	1.227990044998732
insid	-1.0789732232453215	-0.6390626408187693
interest	-0.6156583042147467	-0.21727689071215067
it	0.22211798449074152	0.4088874710723662
kids’	-1.4073103168728576	-0.8645322253700551
kind	-0.4862283648659915	4.51003337909206e-4
know	-0.15798195977779253	0.09514435587169626
known	-0.07168108979430844	-0.35779303406374785
lab	-1.081447977790887	-0.6434907957285414
leapfrog	-0.4079463095208972	0.19639828367852727
lethal	-1.1255831131916538	-0.624356344006934
lifestyl	2.0155891842254072	-1.3890394003428486
light	-0.5826279672416537	-0.23633453572577318
like	1.0368191987016504	0.7002639131936748
live	1.919436150826076	0.7885558133738773
long	1.4456243688265276	0.6482984036723495
made	-0.2499968013808834	-0.47602280089522075
make	0.9303799852667891	0.31032598328618377
manufactur	-0.8674515706599765	-0.47965237417568574
market	-0.5311929679395855	-0.28460726455883917
might	-0.21713630685871485	0.44797255241840955
million	0.8129828528917846	1.205038978925837
miracl	0.7037229819551192	-0.32675084635696233
more	-1.454087226540159	-0.8613459409966889
mostli	0.23950070721197098	-0.24985601874351496
move	-1.076671890998412	-0.6398004800611291
