,condition,layer_n,k,story_merged
139,Multiple-pathway,4,2,0.08536585365853659
140,Multiple-pathway,4,2,0.047619047619047616
141,Multiple-pathway,4,2,0.07142857142857142
142,Multiple-pathway,4,2,0.06451612903225806
143,Multiple-pathway,4,2,0.07777777777777778
144,Multiple-pathway,4,2,0.058823529411764705
145,Multiple-pathway,4,2,0.021739130434782608
146,Multiple-pathway,4,2,0.031746031746031744
147,Multiple-pathway,4,2,0.0392156862745098
148,Multiple-pathway,4,2,0.15384615384615385
149,Multiple-pathway,4,2,0.034482758620689655
150,Multiple-pathway,4,2,0.025
151,Multiple-pathway,4,2,0.0547945205479452
152,Multiple-pathway,4,2,0.034482758620689655
153,Multiple-pathway,4,2,0.019230769230769232
154,Multiple-pathway,4,2,0.031746031746031744
155,Multiple-pathway,4,2,0.08
156,Multiple-pathway,4,2,0.08
157,Multiple-pathway,4,2,0.05555555555555555
158,Multiple-pathway,4,2,0.07407407407407407
159,Multiple-pathway,4,2,0.0625
160,Multiple-pathway,4,2,0.0
161,Multiple-pathway,4,2,0.047619047619047616
162,Multiple-pathway,4,2,0.1111111111111111
163,Multiple-pathway,4,2,0.05128205128205128
164,Multiple-pathway,4,2,0.017241379310344827
165,Multiple-pathway,4,2,0.06818181818181818
166,Multiple-pathway,4,2,0.09090909090909091
167,Multiple-pathway,4,2,0.09090909090909091
168,Multiple-pathway,4,2,0.029411764705882353
169,Multiple-pathway,4,2,0.1
170,Multiple-pathway,4,2,0.043478260869565216
171,Multiple-pathway,4,2,0.058823529411764705
172,Multiple-pathway,4,2,0.0
173,Multiple-pathway,4,2,0.021739130434782608
174,Multiple-pathway,5,0,0.17647058823529413
175,Multiple-pathway,4,2,0.06521739130434782
176,Multiple-pathway,5,0,0.12903225806451613
177,Multiple-pathway,5,0,0.0784313725490196
178,Multiple-pathway,5,0,0.10112359550561797
179,Multiple-pathway,5,0,0.11627906976744186
180,Multiple-pathway,5,0,0.1111111111111111
181,Multiple-pathway,5,0,0.07042253521126761
182,Multiple-pathway,5,0,0.05714285714285714
183,Multiple-pathway,5,0,0.06779661016949153
184,Multiple-pathway,5,0,0.08333333333333333
185,Multiple-pathway,5,0,0.06
186,Multiple-pathway,5,0,0.16666666666666666
